dep,codgeo,libgeo,population
33,33413,Saint-Germain-du-Puch,2276.0
08,08415,Sery,324.0
31,31052,Beaumont-sur-Lèze,1620.0
10,10105,Courcelles-sur-Voire,25.0
57,57268,Guébling,124.0
07,07148,Malbosc,145.0
49,49241,Le Plessis-Grammoire,2622.0
29,29278,Spézet,1748.0
80,80582,Namps-Maisnil,1005.0
54,54082,Boncourt,172.0
25,25463,Pont-de-Roide-Vermondans,4030.0
70,70256,Fresse,704.0
65,65112,Bun,154.0
29,29023,Carantec,3236.0
65,65143,Chelle-Spou,109.0
80,80034,Athies,605.0
38,38225,Méaudre,3075.0
57,57371,Haute-Kontz,568.0
62,62725,Royon,133.0
34,34333,Vic-la-Gardiole,3416.0
37,37246,Sennevières,212.0
70,70118,Chambornay-lès-Bellevaux,190.0
44,44210,Trignac,8106.0
09,09313,Tourtouse,162.0
70,70178,La Côte,526.0
70,70102,Brussey,280.0
50,50417,Quettehou,1786.0
60,60108,Briot,293.0
89,89145,Domecy-sur-Cure,397.0
39,39373,Les Moussières,159.0
03,03021,Bègues,226.0
57,57224,Folschviller,3957.0
25,25039,Avoudrey,941.0
32,32065,Le Brouilh-Monbert,240.0
59,59517,Les Rues-des-Vignes,748.0
46,46236,Reilhaguet,148.0
55,55572,Vittarville,90.0
02,02070,Bernot,438.0
76,76095,Bihorel,8199.0
27,27544,Saint-Germain-de-Fresney,200.0
42,42125,Luré,138.0
63,63151,Escoutoux,1341.0
27,27419,Mouettes,736.0
16,16298,Saint-Amant-de-Nouère,354.0
64,64366,Mascaraàs-Haron,116.0
67,67192,Herbsheim,954.0
46,46136,Labastide-du-Vert,273.0
21,21136,Champagny,26.0
83,83086,Le Muy,9646.0
52,52250,Joinville,2972.0
53,53077,Cossé-le-Vivien,3246.0
78,78672,Villennes-sur-Seine,5628.0
39,39066,Bornay,180.0
40,40237,Préchacq-les-Bains,789.0
72,72005,Ancinnes,938.0
30,30091,Congénies,1645.0
90,90049,Foussemagne,911.0
03,03251,Saint-Plaisir,407.0
33,33301,Naujan-et-Postiac,626.0
10,10055,Bourguignons,255.0
60,60593,Saint-Pierre-lès-Bitry,141.0
27,27368,Lignerolles,349.0
65,65184,Galez,171.0
78,78397,Le Mesnil-Saint-Denis,6929.0
35,35356,Vignoc,2202.0
57,57674,Tincry,173.0
62,62647,Le Parcq,728.0
57,57614,Saint-Jean-Kourtzerode,700.0
59,59180,Le Doulieu,1454.0
35,35353,Vezin-le-Coquet,6337.0
05,05102,La Piarre,87.0
02,02595,Passy-sur-Marne,138.0
63,63016,Augerolles,872.0
63,63424,Surat,601.0
62,62337,Flers,220.0
01,01421,Torcieu,744.0
35,35161,Louvigné-de-Bais,1887.0
14,14488,Ouistreham,9331.0
21,21014,Antheuil,62.0
2A,2A189,Olmeto,1241.0
64,64121,Beyrie-en-Béarn,193.0
65,65288,Lubret-Saint-Luc,58.0
86,86257,Savigny-sous-Faye,375.0
63,63420,Seychalles,789.0
05,05078,Monêtier-Allemont,290.0
25,25243,Flangebouche,826.0
27,27281,Gaudreville-la-Rivière,221.0
14,14300,Gerrots,51.0
46,46284,Saint-Michel-Loubéjou,410.0
08,08296,Montcheutin,111.0
50,50120,Chanteloup,373.0
25,25326,Lantenne-Vertière,528.0
83,83119,Saint-Tropez,3578.0
34,34237,Roujan,2260.0
08,08365,Rimogne,1330.0
57,57416,Lorry-Mardigny,671.0
72,72006,Arçonnay,1890.0
72,72350,Teloché,3053.0
09,09235,Prat-Bonrepaux,857.0
41,41241,Selles-Saint-Denis,1341.0
10,10015,Aubeterre,385.0
57,57488,Moussey,562.0
54,54258,Hénaménil,147.0
66,66134,Passa,1039.0
54,54558,Velaine-sous-Amance,282.0
48,48074,Hures-la-Parade,221.0
02,02820,Viry-Noureuil,1684.0
47,47115,Guérin,249.0
82,82040,Cayriech,277.0
22,22024,Calanhel,227.0
36,36178,Saint-Aigny,270.0
33,33326,Pleine-Selve,218.0
50,50493,Saint-Jean-des-Champs,1496.0
41,41208,Saint-Étienne-des-Guérets,114.0
15,15261,Le Vigean,814.0
50,50352,Montreuil-sur-Lozon,340.0
70,70045,Avrigney-Virey,422.0
10,10305,Prémierfait,89.0
45,45294,Saint-Michel,143.0
77,77046,Boulancourt,332.0
68,68222,Muespach-le-Haut,1110.0
38,38133,Coublevie,5339.0
24,24128,Comberanche-et-Épeluche,164.0
2B,2B121,Galéria,379.0
72,72246,Prévelles,197.0
89,89245,Marsangy,847.0
24,24143,Couze-et-Saint-Front,722.0
