codgeo,libgeo,revenu_median
02128,Bruyères-et-Montbérault,23910.0
02129,Bruys,
02130,Bucilly,19480.0
02131,Bucy-le-Long,23900.0
02132,Bucy-lès-Cerny,24200.0
02133,Bucy-lès-Pierrepont,19120.0
02134,Buire,21200.0
02135,Buironfosse,19400.0
02136,Burelles,23000.0
02137,Bussiares,23060.0
02138,Buzancy,25330.0
02139,Caillouël-Crépigny,23580.0
02140,Camelin,20540.0
02141,La Capelle,18690.0
02142,Castres,26180.0
02143,Le Catelet,20010.0
02144,Caulaincourt,24290.0
02145,Caumont,23920.0
02146,Celles-lès-Coé,
02148,Celles-sur-Aisne,22490.0
02149,Cerizy,
02150,Cerny-en-Laonnois,
02151,Cerny-lès-Bucy,
02152,Cerseuil,
02153,Cessières-Suzy,23530.0
02154,Chacrise,22240.0
02155,Chaillevois,24300.0
02156,Chalary,20700.0
02157,Chambry,22440.0
02158,Chamouille,21760.0
02159,Champs,20810.0
02160,Chaourse,19710.0
02162,La Chapelle-sur-Chézy,23470.0
02163,Charly-sur-Marne,21500.0
02164,Le Charmel,22620.0
02165,Charmes,20900.0
02166,Chartèves,24770.0
02167,Chassemy,23340.0
02168,Château-Thierry,19150.0
02169,Châtillon-lès-Sons,
02170,Châtillon-sur-Oise,24780.0
02171,Chaudardes,24500.0
02172,Chaudun,24190.0
02173,Chauny,18580.0
02174,Chavignon,22600.0
02175,Chavigny,21230.0
02176,Chavonne,20760.0
02177,Chérêt,23250.0
02178,Chermizy-Ailles,22740.0
02179,Chéry-Chartreuve,23450.0
02180,Chéry-lès-Pouilly,22150.0
02181,Chéry-lès-Rozoy,
02182,Chevennes,20280.0
02183,Chevregny,24510.0
02184,Chevresis-Monceau,21220.0
02185,Chézy-en-Orxois,23140.0
02186,Chézy-sur-Marne,24080.0
02187,Chierry,24590.0
02188,Chigny,20520.0
02189,Chivres-en-Laonnois,20150.0
02190,Chivres-Val,22790.0
02191,Chivy-lès-Étouvelles,22990.0
02192,Chouy,22180.0
02193,Cierges,
02194,Cilly,19560.0
02195,Ciry-Salsogne,24060.0
02196,Clacy-et-Thierret,25390.0
02197,Clairfontaine,23510.0
02198,Clamecy,23230.0
02199,Clastres,21930.0
02200,Clermont-les-Fermes,
02201,Cœuvres-et-Valsery,24510.0
02203,Coincy,20580.0
02204,Coingt,
02205,Colligis-Craelain,22400.0
02206,Colonfay,
02207,Commenchon,23680.0
02208,Concevreux,24070.0
02209,Coé-en-Brie,22080.0
02210,Coé-sur-Aisne,22960.0
02211,Coé-sur-Suippe,22530.0
02212,Coren,22270.0
02213,Connigis,22390.0
02214,Contescourt,
02215,Corbeny,22490.0
02216,Corcy,24090.0
02217,Coucy-le-Château-Auffrique,22120.0
02218,Coucy-lès-Eppes,22440.0
02219,Coucy-la-Ville,20440.0
02220,Coulonges-Cohan,22040.0
02221,Coupru,24820.0
02222,Courbes,
02223,Courboin,21900.0
02224,Courcelles-sur-Vesle,21440.0
02225,Courchamps,
02226,Courmelles,22730.0
02227,Courmont,22630.0
02228,Courtemont-Varennes,21750.0
02229,Courtrizy-et-Fussigny,
02230,Couvrelles,21890.0
02231,Couvron-et-Aumencourt,20170.0
02232,Coyolles,22930.0
02233,Cramaille,22370.0
02234,Craonne,
02235,Craonnelle,20300.0
02236,Crécy-au-Mont,20610.0
02237,Crécy-sur-Serre,20300.0
02238,Crépy,20740.0
02239,Crézancy,20650.0
02240,Croix-Fonsomme,21140.0
02241,La Croix-sur-Ourcq,
02242,Crouttes-sur-Marne,23730.0
02243,Crouy,20820.0
02244,Crupilly,
02245,Cuffies,21430.0
02246,Cugny,21670.0
02248,Cuirieux,18830.0
02249,Cuiry-Housse,23420.0
02250,Cuiry-lès-Chaudardes,
02251,Cuiry-lès-Iviers,
02252,Cuissy-et-Geny,
02253,Cuisy-en-Almont,24260.0
02254,Cutry,24460.0
02255,Cys-la-Commune,20660.0
02256,Dagny-Lambercy,20490.0
02257,Dallon,27180.0
02258,Dammard,22140.0
02259,Dampleux,25610.0
02260,Danizy,19930.0
02261,Dercy,21950.0
02262,Deuillet,22500.0
02263,Dhuizel,23820.0
02264,Dizy-le-Gros,19340.0
02265,Dohis,
02266,Dolignon,
02267,Dommiers,23120.0
02268,Domptin,24440.0
02269,Dorengt,21180.0
02270,Douchy,21140.0
02271,Dravegny,18840.0
02272,Droizy,
02273,Dury,22730.0
02274,Ébouleau,20730.0
02275,Effry,16390.0
02276,Englancourt,22940.0
02277,Épagny,21260.0
02278,Éparcy,
02279,Épaux-Bézu,24860.0
02280,Épieds,24460.0
02281,L'Épine-aux-Bois,24210.0
02282,Eppes,21000.0
02283,Erlon,19790.0
02284,Erloy,
02286,Esquéhéries,21000.0
02287,Essigny-le-Gra,24790.0
02288,Essigny-le-Petit,21550.0
02289,Essises,24830.0
02290,Essômes-sur-Marne,23660.0
02291,Estrées,21190.0
02292,Étampes-sur-Marne,21900.0
02293,Étaves-et-Bocquiaux,21120.0
02294,Étouvelles,25310.0
02295,Étréaupont,19530.0
02296,Étreillers,23170.0
02297,Étrépilly,23220.0
02298,Étreux,19940.0
02299,Évergnicourt,22270.0
02302,Faverolles,24050.0
02303,Fayet,32330.0
02304,La Fère,16210.0
02305,Fère-en-Tardenois,19780.0
02306,La Ferté-Chevresis,20600.0
02307,La Ferté-Milon,22930.0
02308,Fesmy-le-Sart,19670.0
02309,Festieux,21460.0
02310,Fieulaine,23300.0
02311,Filain,22350.0
02312,La Flamengrie,21260.0
02313,Flavigny-le-Gra-et-Beaurain,21670.0
02315,Flavy-le-Martel,21150.0
02316,Fleury,26560.0
02317,Fluquières,26590.0
02318,Folembray,20330.0
02319,Fonsomme,20590.0
02320,Fontaine-lès-Clercs,26300.0
02321,Fontaine-lès-Vervins,22120.0
02322,Fontaine-Notre-Dame,24950.0
02323,Fontaine-Uterte,23020.0
02324,Fontenelle,21680.0
02326,Fontenoy,23650.0
02327,Foreste,18850.0
02328,Fossoy,24890.0
02329,Fourdrain,24060.0
02330,Francilly-Selency,26360.0
02331,Franqueville,20060.0
02332,Fresnes-en-Tardenois,22610.0
02333,Fresnes-sous-Coucy,20060.0
02334,Fresnoy-le-Gra,19180.0
02335,Fressancourt,22200.0
02336,Frières-Faillouël,23400.0
02337,Froidestrées,21010.0
02338,Froidmont-Cohartille,21240.0
02339,Gaelu,23210.0
02340,Gauchy,20850.0
02341,Gercy,22290.0
02342,Gergny,22010.0
02343,Germaine,
02345,Gibercourt,
02346,Gizy,21480.0
02347,Gla,25850.0
02349,Goudelancourt-lès-Berrieux,
02350,Goudelancourt-lès-Pierrepont,20470.0
02351,Goussancourt,24670.0
02352,Gouy,20460.0
02353,Gralup-et-Fay,21860.0
02354,Grarieux,
02355,Gricourt,24170.0
02356,Grisolles,20880.0
02357,Gronard,
02358,Grougis,20440.0
02359,Grugies,22150.0
02360,Villeneuve-sur-Aisne,23040.0
02361,Guise,17320.0
02362,Guivry,23070.0
02363,Guny,21020.0
02364,Guyencourt,25500.0
02366,Hannapes,19940.0
02367,Happencourt,23430.0
02368,Haramont,22430.0
02369,Harcigny,18870.0
02370,Hargicourt,21310.0
02371,Harly,21470.0
02372,Hartennes-et-Taux,22960.0
02373,Hary,23070.0
02374,Lehaucourt,19980.0
02375,Hautevesnes,24030.0
02376,Hauteville,23470.0
02377,Haution,19340.0
02378,La Hérie,20120.0
02379,Le Hérie-la-Viéville,19680.0
02380,Hinacourt,
02381,Hirson,16460.0
02382,Holnon,23890.0
02383,Homblières,25090.0
02384,Houry,
02385,Housset,19820.0
02386,Iron,19670.0
02387,Itancourt,24980.0
02388,Iviers,19850.0
02389,Jaulgonne,22640.0
02390,Jeancourt,22430.0
