dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
73,73263,Saint-Offenge,1157.0,27230.0,Élevé,0.1165889272363845,3
80,80399,Guignemicourt,409.0,28430.0,Élevé,0.0394548237326634,2
62,62318,Étaples,10930.0,19120.0,Très faible,1.4191611367308758,0
87,87198,Vaulry,402.0,19470.0,Très faible,0.0516916662324416,0
60,60525,Raray,122.0,31840.0,Élevé,0.0102775783119813,2
74,74278,Thyez,6379.0,26840.0,Élevé,0.6517192722307923,3
71,71448,Saint-Martin-Belle-Roche,1390.0,24790.0,Élevé,0.1522260984405765,3
15,15070,Fontanges,203.0,20810.0,Très faible,0.0251278723961916,0
89,89101,Chéu,543.0,20980.0,Très faible,0.0668830526000091,0
78,78305,Herbeville,237.0,34160.0,Élevé,0.0179944013775794,2
68,68288,Ruederbach,399.0,32840.0,Élevé,0.0321824064512775,2
60,60416,Montgérain,168.0,22410.0,Faible,0.0198318904222796,0
02,02808,Villeret,275.0,21140.0,Très faible,0.0337149019965764,0
24,24155,Douville,459.0,22030.0,Faible,0.0548088159433532,0
14,14515,Port-en-Bessin-Huppain,1907.0,21460.0,Faible,0.2316099412526454,0
16,16175,Jurignac,1365.0,21690.0,Faible,0.1646572362820043,0
57,57321,Hesse,554.0,23260.0,Moyen,0.0637099443967885,3
89,89129,Crain,411.0,21100.0,Très faible,0.0504473873932059,0
33,33354,Riocaud,196.0,19270.0,Très faible,0.0253434255123058,0
12,12026,Bertholène,1054.0,21800.0,Faible,0.1267263046108766,0
27,27497,Rougemontiers,1032.0,23080.0,Moyen,0.119345806064717,3
44,44049,Le Croisic,4107.0,25380.0,Élevé,0.4410924392236249,3
59,59571,Solesmes,4249.0,19100.0,Très faible,0.5519986578909469,0
02,02532,Moÿ-de-l'Aisne,979.0,22650.0,Faible,0.1147256994360931,0
31,31252,Labastide-Saint-Sernin,1950.0,27030.0,Élevé,0.1978962580829353,3
72,72173,Luceau,1234.0,22570.0,Faible,0.1449621770994066,0
02,02779,Vénérolles,221.0,18840.0,Très faible,0.0289166674062077,0
24,24182,Le Fleix,1493.0,20970.0,Très faible,0.1839511221862992,0
48,48005,Antrenas,329.0,22590.0,Faible,0.0386251611151103,0
37,37042,Candes-Saint-Martin,184.0,23190.0,Moyen,0.0212061535620359,3
46,46012,Aynac,556.0,20710.0,Très faible,0.0690224522290954,0
87,87132,Saint-Amand-le-Petit,109.0,18650.0,Très faible,0.0143363076250641,0
88,88054,Bertrimoutier,309.0,24340.0,Moyen,0.0343386545693999,3
41,41017,Binas,643.0,22520.0,Faible,0.0756506478158716,0
71,71445,Saint-Marcel,6199.0,22270.0,Faible,0.7348842386131884,0
28,28028,Bazoches-en-Dunois,261.0,23640.0,Moyen,0.0296594348377538,3
77,77131,Coulommiers,15250.0,21030.0,Très faible,1.8756580419366005,0
85,85204,Saint-Christophe-du-Ligneron,2632.0,21750.0,Faible,0.3169268181634334,0
24,24372,Saint-Astier,5320.0,22200.0,Faible,0.6320147850639043,0
27,27190,Croisy-sur-Eure,215.0,29650.0,Élevé,0.0198000216845072,2
54,54117,Chaouilley,114.0,25680.0,Élevé,0.0121210180996176,3
17,17287,Pouillac,277.0,20630.0,Très faible,0.0344665238468287,0
31,31401,Noueilles,388.0,26290.0,Élevé,0.040405544536333,3
72,72289,Sainte-Jamme-sur-Sarthe,1987.0,22870.0,Moyen,0.2312827579347052,3
57,57587,Rodalbe,247.0,23020.0,Moyen,0.0286174812583466,3
07,07298,Saint-Symphorien-sous-Chomérac,822.0,24610.0,Moyen,0.0905518816935292,3
21,21320,Izier,790.0,26840.0,Élevé,0.0807114320524104,3
23,23188,Saint-Dizier-les-Domaines,200.0,20500.0,Très faible,0.0249787811921472,0
51,51504,Saint-Martin-sur-le-Pré,798.0,26190.0,Élevé,0.0833881909381992,3
73,73006,Aime,4421.0,23650.0,Moyen,0.5022337059993984,3
62,62214,Carly,612.0,24750.0,Élevé,0.0671110449197308,3
47,47251,Saint-Léon,322.0,23720.0,Moyen,0.0364989893423097,3
86,86024,Béruges,1549.0,24910.0,Élevé,0.1689726720418681,3
52,52407,Prez-sous-Lafauche,275.0,21060.0,Très faible,0.0337937672644047,0
60,60660,Le Vaumain,407.0,24940.0,Élevé,0.0443538266266072,3
36,36139,Neuillay-les-Bois,658.0,21490.0,Faible,0.07984498954177,0
62,62878,Warlus,381.0,27430.0,Élevé,0.0381195630526332,3
55,55182,Éton,208.0,20990.0,Très faible,0.0256125711626942,0
88,88141,Dombrot-sur-Vair,242.0,23530.0,Moyen,0.0275957458657826,3
76,76725,Vattetot-sous-Beaumont,580.0,25220.0,Élevé,0.0626247583114718,3
64,64024,Anglet,41153.0,25060.0,Élevé,4.467046494128188,3
74,74034,Le Biot,639.0,24370.0,Moyen,0.0709422837829781,3
2B,2B010,Algajola,363.0,22750.0,Faible,0.0424086147956235,0
44,44144,Riaillé,2358.0,20690.0,Très faible,0.2928937749239429,0
