dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
83,83122,Les Salles-sur-Verdon,232.0,22080.0,Faible,0.027661347429476145
52,52090,Celsoy,96.0,,,
68,68374,Wintzenheim,7989.0,24700.0,Moyen,0.8774942590996174
40,40161,Lubbon,82.0,,,
37,37001,Abilly,1133.0,21140.0,Très faible,0.13890539622589518
33,33104,Castelnau-de-Médoc,4829.0,23530.0,Moyen,0.5506605652308445
22,22377,Tréveneuc,804.0,24270.0,Moyen,0.08954893057384794
67,67279,Maennolsheim,239.0,27380.0,Élevé,0.023955110015736587
60,60056,Beaurepaire,65.0,,,
05,05065,Guillestre,2292.0,21330.0,Faible,0.2794372810572009
01,01194,Jassans-Riottier,6355.0,24030.0,Moyen,0.7132827549722389
35,35262,Sainte-Colombe,360.0,22730.0,Faible,0.04208394082711423
04,04132,Montsalier,159.0,21960.0,Faible,0.019025959080772994
25,25431,Onans,357.0,24000.0,Moyen,0.04010793569382844
02,02513,Montigny-le-Franc,135.0,21430.0,Faible,0.01641060756034319
63,63399,Saint-Sulpice,84.0,,,
58,58247,Saint-Jean-aux-Amognes,505.0,23960.0,Moyen,0.056807727852158214
59,59399,Merris,1049.0,25220.0,Élevé,0.1132644335667827
84,84022,Buisson,261.0,23310.0,Moyen,0.029968192361301445
58,58240,Saint-Franchy,78.0,,,
02,02118,Braye,130.0,22420.0,Faible,0.01534144546353522
973,973313,Montsinéry-Tonnegrande,3295.0,,,
91,91578,Saint-Sulpice-de-Favières,270.0,34040.0,Élevé,0.020616097967284575
62,62145,Boiry-Notre-Dame,437.0,24920.0,Élevé,0.04765448147661558
72,72119,Domfront-en-Champagne,1055.0,23540.0,Moyen,0.12026594865317858
10,10046,Blaincourt-sur-Aube,103.0,,,
78,78576,Saint-Rémy-l'Honoré,1668.0,34420.0,Élevé,0.12508949182495038
71,71040,Blanzy,6012.0,21480.0,Faible,0.7297414703459574
16,16181,Lessac,519.0,20260.0,Très faible,0.06526645800092608
80,80619,Pernois,712.0,22690.0,Faible,0.08333477764317006
68,68386,Zimmersheim,1059.0,36610.0,Élevé,0.07110445945191221
45,45247,Pannes,3714.0,22260.0,Faible,0.44042351836104526
83,83046,Cotignac,2136.0,22790.0,Faible,0.24923862287459594
06,06044,La Colle-sur-Loup,8084.0,29030.0,Élevé,0.7624480440455006
36,36217,Sembleçay,98.0,,,
973,973358,Saint-Élie,241.0,,,
44,44202,Teillé,1812.0,22280.0,Faible,0.21474553577164865
17,17041,Benon,1763.0,22510.0,Faible,0.20748480488904092
03,03093,Creuzier-le-Neuf,1230.0,24310.0,Moyen,0.13682012684881822
971,971102,Anse-Bertrand,4052.0,,,
30,30284,Saint-Martin-de-Valgalgues,4603.0,19220.0,Très faible,0.5960076282100507
88,88227,Hagnéville-et-Roncourt,85.0,,,
27,27273,Gadencourt,370.0,25950.0,Élevé,0.03898202645203314
47,47288,Sauvagnas,522.0,24420.0,Moyen,0.057859288655100885
24,24277,Monfaucon,288.0,19200.0,Très faible,0.0373115883837328
73,73076,La Chapelle-du-Mont-du-Chat,266.0,26900.0,Élevé,0.027119041169609892
31,31498,Saint-Loup-en-Comminges,38.0,,,
89,89207,Jouancy,27.0,,,
33,33339,Prignac-et-Marcamps,1420.0,23040.0,Moyen,0.16441974428229425
35,35243,Romagné,2440.0,23580.0,Moyen,0.2778007550540667
62,62546,Maninghen-Henne,318.0,29040.0,Élevé,0.029980990043399023
66,66117,Mont-Louis,147.0,23190.0,Moyen,0.016941872682713487
67,67230,Kaltenhouse,2478.0,25430.0,Élevé,0.2656934308327719
27,27198,Damville,6145.0,22630.0,Faible,0.720552340273553
32,32254,Miramont-d'Astarac,349.0,21740.0,Faible,0.042036621666417286
65,65391,Sainte-Marie,59.0,,,
72,72362,Le Tronchet,168.0,22840.0,Moyen,0.019572925561010916
69,69384,Lyon 4e  Arrondissement,35603.0,28240.0,Élevé,3.4587485243752747
